"CTNAME","PopTotal","HabKm2","PctFRev","TxChomage","PctImmigrant","PctImgRecent","PctMenage1pers","PctFamilleMono","PctLangueMaternelleFR","PctLangueMaternelleAN","PctLangueMaternelleAU"
"0031.00",2530,9845,11.067,8.571,23.619,7.238,56.436,18.269,71.429,5.159,23.413
"0032.00",1605,13017,6.231,8.213,20.984,7.541,56.701,15.873,76.774,5.806,17.419
"0033.00",1735,11312,10.663,9.174,19.13,4.928,48.454,20,77.059,5.588,17.353
"0034.00",2555,11962,9.393,9.062,26.326,8.144,48.519,25.664,68.56,4.665,26.978
"0035.00",1995,10997,8.521,8.679,14.796,4.592,47.111,25.556,81.378,4.592,13.776
"0036.00",2015,10855,6.7,7.836,19.902,4.668,55.23,21.176,73.35,7.36,19.289
"0037.00",3335,6596,23.388,7.692,21.273,4.814,60.849,21.094,77.301,4.294,18.405
"0038.00",1920,9125,9.635,13.023,23.399,5.911,46.193,27.16,69.811,6.739,23.181
"0039.00",2015,4229,20.347,8.812,24.02,8.824,54.008,23.377,75.98,6.863,17.157
"0041.00",1635,6307,9.48,10.092,24.316,9.119,53.769,16.667,70.533,9.091,20.376
"0042.00",935,9116,12.834,4.878,22.826,8.696,57.025,8.108,74.194,11.828,13.441
"0043.00",895,2531,8.939,5.932,22.222,7.602,58.929,5.882,71.875,13.542,14.583
"0044.00",2015,14784,9.677,9.455,22.604,6.143,52.941,16.456,73.183,8.271,18.296
"0045.00",1390,11831,16.547,13.855,20.578,3.971,60,8.333,77.778,8.148,14.074
"0046.00",1995,12550,6.767,6.529,22,6.5,55.417,25.316,75.325,7.792,16.883
"0047.00",740,6245,4.054,8.411,28.571,9.74,40.26,25,76.224,5.594,18.881
"0048.00",2195,15652,5.011,5.28,24.027,8.467,48.148,18.681,77.209,8.372,14.419
"0049.00",1305,7950,15.709,8.571,17.343,3.69,58.896,16.667,75.875,8.56,15.175
"0050.00",1205,17074,18.672,8.871,32.906,7.692,53.957,27.451,62.069,9.483,28.448
"0051.00",1365,6381,10.989,5.851,27.536,9.42,55.152,12,74.194,10.036,15.412
"0052.00",1875,13467,17.333,11.65,25.815,5.978,55.656,24.615,67.196,9.259,23.81
"0053.00",1055,9783,25.592,6.618,35.16,9.589,67.333,5.556,70,8.571,21.429
"0054.00",1050,6984,14.286,10.227,31.019,9.259,59.854,8.889,63.507,10.427,26.54
"0055.01",4655,6361,15.145,4.085,29.097,5.351,52.743,11.789,58.667,17.556,23.667
"0055.02",820,624,32.317,5.556,29.53,4.027,38.043,7.273,60.248,19.876,19.255
"0056.00",1510,5240,31.788,9.22,53,5.667,56.915,15.278,31.65,12.458,55.556
