OBJECTID,ID_SERV,INFO,NOM,AIRE_JEUX,ATHLETISME,BASEBALL_S,BASKETBALL,FOOTBALL,JEUX_EAU,RANDONNEE,ROULI_ROUL,SOCCER,SKI_FOND,TENNIS,TOBBOGAN_G,VOLLEY_BALL,PATIN_ROUE,RAQUETTES,PATAUGEOIRE,PISC_EXT,PATINOIRE_E,SUM_SERVICES,Shape_Length,Shape_Area,HECTARES,HaTypo,TypoParcCL6
646,7001.000000000000000,MERCIER-HOCHELAGA-MAISONNEUVE,PARC CHAMPETRE,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1044.051630956443000,67226.981650026166000,6.722698165002616,c. 5 à 10 ha,E
647,7028.000000000000000,MERCIER-HOCHELAGA-MAISONNEUVE,PARC HONORE-MERCIER,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1314.148794005419900,91922.179492835756000,9.192217949283576,c. 5 à 10 ha,E
648,7026.000000000000000,MERCIER-HOCHELAGA-MAISONNEUVE,PARC CLEMENT-JETTE NORD,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,997.108166537945290,39904.981600061255000,3.990498160006125,b. 1 à 5 ha,B
650,7029.000000000000000,MERCIER-HOCHELAGA-MAISONNEUVE,PARC L.O. TAILLON,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,614.800435214688830,23384.993150006638000,2.338499315000664,b. 1 à 5 ha,C
651,7402.000000000000000,GRANDS PARCS URBAINS,PROMENADE BELLERIVE,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,4,4102.431200862327400,213782.328092722720000,21.378232809272273,e. 20 ha et plus,F
653,6655.000000000000000,AHUNSTIC-CARTIERVILLE,PARC LOMER-GOUIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,416.714874892006150,8441.008999969712000,0.844100899996971,a- Moins de 1 ha,A
274,7446.000000000000000,LASALLE,RAYMOND,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,1016.802656987166900,35841.989050013603000,3.584198905001360,b. 1 à 5 ha,B
275,7448.000000000000000,SAINT-LAURENT,PARC ALEXIS-NIHON,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,781.592142197743560,35778.487450006316000,3.577848745000632,b. 1 à 5 ha,C
276,7350.000000000000000,VILLERAY-SAINT-MICHEL-PARC-EXTENSION,GEORGES-VERNOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,787.322363867525950,35583.995200003155000,3.558399520000315,b. 1 à 5 ha,B
277,7064.000000000000000,PIERREFONDS-SENNEVILLE,DUVAL,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,4,1029.990608436146700,35211.517049971037000,3.521151704997104,b. 1 à 5 ha,B
278,6907.000000000000000,LE SUD-OUEST,PARC CLIFFORD,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,896.734579107930700,34979.491500009441000,3.497949150000944,b. 1 à 5 ha,C
279,7022.000000000000000,MERCIER-HOCHELAGA-MAISONNEUVE,PARC JEAN-AMYOT,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,5,766.424020895688730,34898.461100071079000,3.489846110007108,b. 1 à 5 ha,C
